Year,State,County,Uninsured #,Uninsured %,Uninsured 95% CI - Low, Uninsured 95% CI - High, Uninsured Z-Score,Adults Uninsured # ,Adults Uninsured % ,Adults Uninsured 95% CI - Low,Adults Uninsured 95% CI - High,Children Uninsured #,Children Uninsured %,Children Uninsured 95% CI - Low,Children Uninsured 95% CI - High,Unemployed # ,Labor Force,Unemployed %,Unemployed Z-Score,Severe Housing Problems %,Severe housing problems 95% CI - Low,Severe housing problems 95% CI - High,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Severe housing problems Z-Score,Homeowners #,Homeowners % ,Homeowners 95% CI - Low,Homeowners 95% CI - High,Households with Severe Cost Burden #,Severe Housing Cost Burden %,Severe housing cost burden 95% CI - Low,Severe housing cost burden 95% CI - High
2022,South Carolina,Pickens,12827,13,12,15,-0.21,11592,16,14,17,1380,6,4,7,3037,57109,5.3,-0.91,16,14,17,13,2,2,0.77,33227,68,67,70,6534,14,12,16
2022,South Carolina,Richland,37559,11,10,12,-1.27,33679,14,12,15,4319,5,4,6,11661,199718,5.8,-0.55,17,16,18,16,2,1,1.38,92936,60,59,61,25585,17,16,18
2022,South Carolina,Saluda,2835,18,15,20,2.37,2499,21,18,24,362,8,5,11,370,8698,4.3,-1.66,9,7,12,7,2,1,-1.88,5710,78,74,81,741,11,7,14
2022,South Carolina,Spartanburg,33742,13,12,14,-0.31,29207,16,14,17,4934,7,5,8,10427,158701,6.6,-0.03,13,13,14,11,3,1,-0.25,84689,71,70,72,12883,11,10,12
2022,South Carolina,Sumter,10652,12,11,14,-0.6,9593,16,14,18,1175,5,3,6,2947,43534,6.8,0.11,16,14,17,13,3,1,0.68,26918,65,63,66,5324,14,12,15
2022,South Carolina,Union,2642,13,11,14,-0.57,2409,15,13,18,254,4,3,6,1077,12008,9,1.65,12,9,14,10,2,1,-0.88,7823,67,64,70,959,9,6,11
2022,South Carolina,Williamsburg,3122,14,12,16,0.2,2846,17,15,20,303,5,3,7,972,12004,8.1,1.04,17,14,20,14,3,1,1.25,9191,72,69,75,1928,16,13,20
2022,South Carolina,York,27603,12,10,13,-1.11,24377,14,13,16,3597,5,4,6,8747,143890,6.1,-0.38,12,11,13,10,1,1,-1,74898,72,71,74,9805,10,9,11
2021,California,Alameda,70837,5,5,5,-1.57,63772,6,5,6,8207,2,2,3,24671,844346,2.9,-0.81,23,23,24,17,7,1,0.25,308891,54,53,54,96579,17,17,18
2021,California,Alpine,58,7,6,8,-0.48,49,8,6,9,9,4,3,5,28,551,5.1,-0.01,28,17,39,28,4,0,1.43,294,84,79,89,46,13,0,27
2021,California,Amador,1487,6,5,7,-1.01,1315,7,6,8,196,3,2,4,572,14900,3.8,-0.47,18,15,21,16,2,1,-1.12,11165,77,74,79,2417,17,14,20
2021,California,Butte,14119,8,7,9,-0.12,12789,9,8,11,1502,3,2,4,5080,99242,5.1,0.01,22,21,24,19,3,1,-0.04,50331,59,58,60,15648,19,18,20
2021,California,Calaveras,2419,7,6,8,-0.27,2162,9,7,10,288,4,3,5,812,21428,3.8,-0.49,21,18,24,19,2,1,-0.43,13173,78,76,80,2788,17,14,20
